District Name,District Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Unexcused > 9 days
Abby Kelley Foster Charter Public (District),4450000,97,5,14,6.5,2.6
Abington,10000,90.5,15.7,46.5,29.5,12.9
Academy Of the Pacific Rim Charter Public (District),4120000,92.8,12.6,30.5,17.3,27.2
Acton-Boxborough,6000000,97.7,3.9,9,4.1,0.1
Acushnet,30000,96.9,5.1,15.4,6.6,6
Advanced Math and Science Academy Charter (District),4300000,96.4,6,17.5,6.7,0
Agawam,50000,92.8,11.8,38.8,22.8,10.1
Alma del Mar Charter School (District),4090000,92.7,12.6,45.4,24.1,2.8
Amesbury,70000,94.5,9.3,29.2,16.3,4.5
Amherst,80000,94.5,8.7,23.2,15.7,1.3
Amherst-Pelham,6050000,91.9,13.4,25.6,18.4,0.5
Andover,90000,96.5,5.9,16.4,7.3,1.2
Argosy Collegiate Charter School (District),35090000,94.3,9.5,29.2,16.7,1.9
Arlington,100000,96.9,5.1,13.1,5.5,1.2
Ashburnham-Westminster,6100000,95.5,7.5,21.5,9.9,8.1
Ashland,140000,94.8,8.6,29.2,16.1,5.7
Assabet Valley Regional Vocational Technical,8010000,93.2,11.5,37.9,21.3,15.1
Athol-Royalston,6150000,92.7,11.6,36.6,22,11.3
Atlantis Charter (District),4910000,94.5,9.4,28.8,16.7,26.9
Attleboro,160000,90.8,15,40.5,27.6,11.5
Auburn,170000,94.4,9.3,27.1,15.6,0
Avon,180000,96.6,5.5,17,7.9,8.9
Ayer Shirley School District,6160000,93.9,10,33.9,18.7,9.2
Barnstable,200000,91,14.5,45.3,30.4,16.6
Baystate Academy Charter Public School (District),35020000,92.5,13.1,42.2,21.9,0
Bedford,230000,97.2,4.8,12.2,5.2,1.4
Belchertown,240000,94.6,8.9,26.8,15.8,20.8
Bellingham,250000,94.2,9.6,27.8,16.5,7.6
Belmont,260000,97.4,4.3,11,5.1,2
Benjamin Banneker Charter Public (District),4200000,96.5,6.1,19.2,8.7,0.6
Benjamin Franklin Classical Charter Public (District),4470000,97.5,4.1,10,3.5,1.4
Berkley,270000,96.4,5.9,19,7.2,16.4
Berkshire Arts and Technology Charter Public (District),4140000,92.4,13,36,21.1,32.9
Berkshire Hills,6180000,90.6,15.5,49,30.2,1.9
Berlin-Boylston,6200000,96,6.5,20.1,10.3,1.2
Beverly,300000,93.3,11.2,33.7,20,14.6
Billerica,310000,95.4,7.6,25.2,11.9,8.3
Blackstone Valley Regional Vocational Technical,8050000,97.2,5.1,15.4,4.8,0.2
Blackstone-Millville,6220000,95.2,8.9,29.9,12.6,14.1
Blue Hills Regional Vocational Technical,8060000,93.6,10.7,41.4,19.7,17
Boston,350000,90,16.4,40.9,29.4,5.2
Boston Collegiate Charter (District),4490000,92.4,12.8,38.7,25.1,2.5
Boston Day and Evening Academy Charter (District),4240000,33.4,99.3,98.6,98.9,0
Boston Green Academy Horace Mann Charter School (District),4110000,85.6,24.1,58.6,46.2,9.8
Boston Preparatory Charter Public (District),4160000,91.8,14.3,37.1,24.8,0
Boston Renaissance Charter Public (District),4810000,91.8,13.6,40.3,25.2,40.3
Bourne,360000,92,12.9,38.1,24.2,17.4
Boxford,380000,97.7,3.8,9.4,2.4,4.3
Braintree,400000,95.9,6.7,21.4,10.4,0
Brewster,410000,95,8.4,33.6,12.8,6.2
Bridge Boston Charter School (District),4170000,93.9,10.3,37.5,18.9,3.2
Bridgewater-Raynham,6250000,95.9,7.1,21.3,9.1,0
Brimfield,430000,97.5,4.1,9.2,4.8,3.7
Bristol County Agricultural,9100000,97,5.1,14.8,5.4,2.7
Bristol-Plymouth Regional Vocational Technical,8100000,92.2,13.1,46.3,24.6,24.1
Brockton,440000,91.8,13.2,39.5,27,0
Brooke Charter School (District),4280000,95.5,8,22.1,11.1,13.6
Brookfield,450000,97.1,4.8,15.9,4.8,4.8
Brookline,460000,97.3,4.4,11.1,5.9,3.4
Burlington,480000,96.1,6.5,18.8,8.8,3.6
Cambridge,490000,95.1,8,21.5,12.8,2.4
Canton,500000,95.8,7.1,20.5,10.9,3.3
Cape Cod Lighthouse Charter (District),4320000,93.6,10.9,34.6,16.1,0
Cape Cod Regional Vocational Technical,8150000,89,18.3,62.8,40.3,41
Carlisle,510000,97.6,4.3,11.5,2.8,0.8
Carver,520000,92.6,12.4,39.4,21,9.8
Central Berkshire,6350000,95.4,7.5,24.3,12.9,0
Chelmsford,560000,96.5,5.8,14.4,7.7,3.5
Chelsea,570000,90.6,15.1,40.5,28.2,4.9
Chesterfield-Goshen,6320000,96.9,4.9,15,3.3,0
Chicopee,610000,90.8,14.9,43.6,28.2,12
Christa McAuliffe Charter Public (District),4180000,94.4,9.6,29.9,16.4,1
City on a Hill Charter Public School Circuit Street (District),4370000,81.6,30.5,68.9,50.5,0.3
Clarksburg,630000,97,5,13.9,5.7,2.1
Clinton,640000,91.8,13.4,40,26.4,0
Codman Academy Charter Public (District),4380000,91.6,14.3,47.7,23.2,30.8
Cohasset,650000,96,6.6,22.7,8.2,8.6
Collegiate Charter School of Lowell (District),35030000,98.5,2.4,6,3.2,8.3
Community Charter School of Cambridge (District),4360000,96.6,5.8,13.9,7.4,0
Community Day Charter Public School - Gateway (District),4260000,95.5,7.8,25.6,11.4,0
Community Day Charter Public School - Prospect (District),4400000,96.4,6.5,22,8,0
Community Day Charter Public School - R. Kingman Webster (District),4310000,95.3,8.4,29.7,12.6,0
Concord,670000,95.6,7.4,25.3,9.8,1.9
Concord-Carlisle,6400000,97.8,3.7,7.9,4,1.3
Conservatory Lab Charter (District),4390000,93.3,11,36.5,20.3,5.2
Conway,680000,95.8,6.9,20.8,11.5,3.1
Danvers,710000,94.9,8.4,25.1,12.9,1
Dartmouth,720000,94.2,10,32.4,16.6,26.6
Dedham,730000,93.3,11.1,30.6,18.9,6.2
Deerfield,740000,96.3,6.2,17.1,7.5,0.9
Dennis-Yarmouth,6450000,92.6,12,38.4,24,10.4
Dighton-Rehoboth,6500000,95.2,8,24.6,11.9,5.9
Douglas,770000,92.8,11.7,34.6,23.1,4.8
Dover,780000,96.9,5.1,15.4,3.6,12.2
Dover-Sherborn,6550000,97,5.2,13.5,4.7,2.7
Dracut,790000,92.5,12.3,37.7,22.8,12.6
Dudley Street Neighborhood Charter School (District),4070000,93.7,10.6,34.8,20.2,31.6
Dudley-Charlton Reg,6580000,94.2,9.7,33.6,16.3,10
Duxbury,820000,96.8,5.4,14.2,4.8,3.8
East Bridgewater,830000,93.9,10.1,32.7,18,15.3
East Longmeadow,870000,97.1,4.8,12.2,5,0
Eastham,850000,94.9,8.3,32,15.8,10.3
Easthampton,860000,95.4,7.5,20.5,12.1,5.1
Easton,880000,96.7,5.4,15.4,6.8,1.9
Edgartown,890000,93.5,10.4,41.2,23.5,14.5
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,86.6,22.1,55.7,41.3,24.9
Erving,910000,95.4,7.5,24.6,14.4,10.2
Essex North Shore Agricultural and Technical School District,8170000,95.3,8.1,29.8,9.7,2.9
Everett,930000,92,13.5,38.2,25.6,32.5
Excel Academy Charter (District),4100000,91.7,14,39.8,27.3,18.5
Fairhaven,940000,91.1,14.7,45.4,27.6,8.4
Fall River,950000,87.3,20.8,59.4,41.9,19.1
Falmouth,960000,94,9.9,31,17.1,27.6
Farmington River Reg,6620000,95.3,7.6,31.4,8.5,12.7
Fitchburg,970000,90.4,15.4,46.2,32.3,6.6
Florida,980000,95.9,6.8,23.3,9.3,0
Four Rivers Charter Public (District),4130000,91,14.8,39.8,27.1,0.5
Foxborough,990000,93.4,11.1,38,19.3,0
Foxborough Regional Charter (District),4460000,97,5.1,15,4.5,0.8
Framingham,1000000,93.6,10.4,27.7,18.8,4.6
Francis W. Parker Charter Essential (District),4780000,94.1,9.7,31.6,14.7,0
Franklin,1010000,96.6,5.6,12.5,6.5,2.3
Franklin County Regional Vocational Technical,8180000,90.9,15.1,54.6,33.4,0
Freetown-Lakeville,6650000,96.4,6,20.2,8.4,2.6
Frontier,6700000,95.2,8,18.4,11.1,0.4
Gardner,1030000,90.4,15.4,44.9,31.1,13.6
Gateway,6720000,94.5,9.1,28.8,15.7,5.9
Georgetown,1050000,96.9,5.2,13.7,5.1,0.9
Gill-Montague,6740000,91.5,13.9,41,28,3.7
Global Learning Charter Public (District),4960000,95.5,7.4,22.7,10.4,1.2
Gloucester,1070000,90.1,16.2,50.7,31.8,30.8
Gosnold,1090000,75.5,30.8,87.5,100,0
Grafton,1100000,94.4,9.4,30.6,16.9,10.3
Granby,1110000,96,6.6,19.2,10.3,5.3
Greater Fall River Regional Vocational Technical,8210000,96.5,5.8,17.1,6.2,1.3
Greater Lawrence Regional Vocational Technical,8230000,93.3,11.2,38.8,21,6.4
Greater Lowell Regional Vocational Technical,8280000,93.7,10.5,35,17,5.2
Greater New Bedford Regional Vocational Technical,8250000,94.9,8.5,30.8,13.1,8.2
Greenfield,1140000,90,16.4,40.3,30.1,31.3
Greenfield Commonwealth Virtual District,39010000,86.7,19.7,38.3,34.4,0
Groton-Dunstable,6730000,96.8,5.3,14.1,5.2,4.8
Hadley,1170000,96.3,6,18.4,9.9,1.1
Halifax,1180000,96.8,5.3,16.6,4.2,5
Hamilton-Wenham,6750000,95.1,8.2,17.5,8.6,3.5
Hampden Charter School of Science East (District),4990000,97.1,4.9,10.9,5.1,0.7
Hampden Charter School of Science West (District),35160000,97,5,12.2,6.4,7.6
Hampden-Wilbraham,6800000,94.8,8.7,28.4,13.4,8.7
Hampshire,6830000,86,23.4,99.1,66.4,0
Hancock,1210000,96.2,5.7,22.2,6.3,0
Hanover,1220000,96,6.5,19.5,7.3,8.7
Harvard,1250000,96.6,5.7,13.7,5.4,2.4
Hatfield,1270000,92.7,12.2,42.9,24.3,0.2
Haverhill,1280000,90.4,15.6,42.9,29.2,11.3
Hawlemont,6850000,95.5,7.3,23.4,13.3,2.3
Helen Y. Davis Leadership Academy Charter Public (District),4190000,84.8,26,67,53.8,0
Hill View Montessori Charter Public (District),4550000,96.8,5.2,13.4,7,0.3
Hilltown Cooperative Charter Public (District),4500000,96.9,5.3,11.5,6.4,0
Hingham,1310000,96.5,5.8,16,6.3,2.2
Holbrook,1330000,95.7,7,24.4,12.5,9.2
Holland,1350000,96.8,5.3,18.4,4.9,11.2
Holliston,1360000,96.7,5.6,14.5,5.5,0
Holyoke,1370000,84.5,25.1,62,45.5,11.3
Holyoke Community Charter (District),4530000,97.8,3.7,11,3.1,5.9
Hoosac Valley Regional,6030000,90.2,16,49.5,34.2,3
Hopedale,1380000,96.8,5.4,14,6.4,3.8
Hopkinton,1390000,96.9,5.2,14.7,5.7,1.8
Hudson,1410000,92.9,11.7,33.8,22.8,7.5
Hull,1420000,91.2,14.5,45,27.3,14.3
Innovation Academy Charter (District),4350000,95.8,7,16.1,9.4,0
Ipswich,1440000,97.5,4.3,10.6,3.8,2.1
KIPP Academy Boston Charter School (District),4630000,87.8,20.9,64.8,41,1.1
KIPP Academy Lynn Charter (District),4290000,89.8,17.9,56.3,34.8,0.1
King Philip,6900000,90.5,15.9,42.7,27.6,7.1
Kingston,1450000,95.7,7.1,22.4,9.2,1.7
Lawrence,1490000,94,10.3,25.6,17.2,4.5
Lawrence Family Development Charter (District),4540000,96.6,5.8,18.5,7.5,2.2
Learning First Charter Public School (District),4860000,97.2,4.8,15.6,3.9,0.1
Lee,1500000,95,8.1,31.5,10.9,2.7
Leicester,1510000,93.3,11.1,37.4,20.7,2.2
Lenox,1520000,97,5,13,6.1,3.8
Leominster,1530000,92.8,11.7,34.9,23.2,27.1
Leverett,1540000,96.1,6.3,21,10.1,2.5
Lexington,1550000,97.7,3.8,10.2,4.3,0.7
Libertas Academy Charter School (District),35140000,94.8,8.6,22.8,14.6,20.1
Lincoln,1570000,95.6,7,26.4,10.8,0.3
Lincoln-Sudbury,6950000,97.2,4.7,11.6,4.3,0.3
Littleton,1580000,97.4,4.4,9.5,5,1.5
Longmeadow,1590000,97.6,4,9.7,3.7,0.1
Lowell,1600000,92.4,12.5,35.5,23,6.5
Lowell Community Charter Public (District),4560000,94.6,9,30.4,16.1,2.2
Lowell Middlesex Academy Charter (District),4580000,48.6,74.9,89.9,84.8,0
Ludlow,1610000,95.2,8,24.8,12.1,4
Lunenburg,1620000,95.3,7.6,25.9,13.1,0.1
Lynn,1630000,92.2,12.9,35.6,23.3,0
Lynnfield,1640000,97.1,4.9,12.6,3.5,2.4
MATCH Charter Public School (District),4690000,91.8,13.7,36,23.7,0
Ma Academy for Math and Science,4680000,99.6,0.6,2,2,2
Malden,1650000,93.3,10.5,28.7,20.2,3.4
Manchester Essex Regional,6980000,95.8,7,18.7,8.4,0.6
Mansfield,1670000,97,5,12.9,6.6,3.7
Map Academy Charter School (District),35170000,47.4,81.5,97.2,97.7,0
Marblehead,1680000,95.5,7.5,23.5,12.5,2.8
Marblehead Community Charter Public (District),4640000,97.4,4.5,12.6,4,2.2
Marion,1690000,96.2,6.1,18.8,8.9,1.4
Marlborough,1700000,92.2,12.6,39.3,25.9,16.9
Marshfield,1710000,96.4,6.3,19.3,6.2,11.1
Martha's Vineyard,7000000,94.5,9.1,17.3,13.5,0.3
Martha's Vineyard Charter (District),4660000,92.3,13.1,47.2,32.8,13.3
Martin Luther King Jr. Charter School of Excellence (District),4920000,92.4,13.1,46.7,22.3,0
Masconomet,7050000,96.8,5.4,12.2,6.3,4.8
Mashpee,1720000,93.9,10,32.1,18.4,2.7
Mattapoisett,1730000,95.4,7.5,22.7,10.3,2.4
Maynard,1740000,90.8,15,38.5,25.6,9.9
Medfield,1750000,95.9,6.7,22.2,9.9,2.5
Medford,1760000,93.5,10.7,30,19.6,9.6
Medway,1770000,95.5,7.6,24.9,10.3,6.8
Melrose,1780000,96.7,5.5,14.6,7.3,4.7
Mendon-Upton,7100000,95.4,7.6,25,11.4,0
Methuen,1810000,93.9,10,25.6,16.7,10
Middleborough,1820000,94,9.9,33.1,16.4,11.9
Middleton,1840000,96.1,6.4,23.8,7.3,20.1
Milford,1850000,91.8,13.3,41.2,26.6,10
Millbury,1860000,94.9,8.6,30.1,13.3,10.1
Millis,1870000,96.2,6.3,13.7,6.1,0
Milton,1890000,96.7,5.6,15.2,6.4,4.1
Minuteman Regional Vocational Technical,8300000,95.8,7,19.2,10.8,3.5
Mohawk Trail,7170000,93.9,9.9,32.6,14.9,5.3
Monomoy Regional School District,7120000,93.5,10.8,37.5,19.8,17.5
Monson,1910000,95.1,8,24.8,12.7,2.6
Montachusett Regional Vocational Technical,8320000,93.3,11.2,44.3,23.1,7.5
Mount Greylock,7150000,95.6,7.2,23.1,11.5,2
Mystic Valley Regional Charter (District),4700000,95.1,9.4,34.5,8.8,0.1
Nahant,1960000,96.2,6.3,24.7,8.9,7
Nantucket,1970000,94.2,9.4,31.9,15.6,5
Narragansett,7200000,93.1,11.2,31.5,19.5,5.9
Nashoba,7250000,95.8,7,19.7,8.3,0.4
Nashoba Valley Regional Vocational Technical,8520000,97.1,4.7,11.5,3.1,4.8
Natick,1980000,96.1,6.5,18.9,8.6,1.5
Nauset,6600000,91.4,14.4,46.7,26,9.4
Needham,1990000,97.2,4.7,11,4,0.2
Neighborhood House Charter (District),4440000,90.8,16.3,44.5,29.5,0.9
New Bedford,2010000,87.3,20.9,53.8,39.2,17.9
New Heights Charter School of Brockton (District),35130000,92.5,12.5,47,24.7,4.3
New Salem-Wendell,7280000,95.3,7.5,23.1,14.9,0.7
Newburyport,2040000,97,5,12.6,5.3,0.1
Newton,2070000,96.9,5.2,13,6.4,1.9
Norfolk,2080000,97.5,4.2,9.9,3.1,0.1
Norfolk County Agricultural,9150000,94,10.1,38.7,16,10.1
North Adams,2090000,84.1,25.9,58.5,48.7,8.5
North Andover,2110000,95.7,7.3,22.5,10.1,7.3
North Attleborough,2120000,95.5,7.4,21,10.7,7.3
North Brookfield,2150000,92,13,45,25.6,33.6
North Middlesex,7350000,94.9,8.3,24.9,12.7,7.2
North Reading,2170000,97.3,4.4,9.9,4,1.6
Northampton,2100000,94.7,8.7,24,13.8,3.8
Northampton-Smith Vocational Agricultural,4060000,92.2,12.9,47.3,26.5,18.9
Northboro-Southboro,7300000,92.6,12.5,45.8,24.6,0.1
Northborough,2130000,96.2,6.4,20.2,9.7,0
Northbridge,2140000,93.7,10.3,31,19.5,6.2
Northeast Metropolitan Regional Vocational Technical,8530000,93.6,11,34.5,19.7,7.8
Northern Berkshire Regional Vocational Technical,8510000,92.1,12.9,42,24,16.8
Norton,2180000,94.7,8.8,28.2,13.2,8.9
Norwell,2190000,95.9,6.8,22,7,6.8
Norwood,2200000,95.2,7.9,23.2,12.9,9.5
Oak Bluffs,2210000,94.7,8.4,32.2,14.3,9.9
Old Colony Regional Vocational Technical,8550000,96.4,6.3,22.7,5.7,4.8
Old Rochester,7400000,93.5,10.9,38,20.6,1.7
