District/School Name,District/School Code,African American (#),Asian (#),Hispanic (#),White (#),Native American (#),"Native Hawaiian, Pacific Islander (#)","Multi-Race,Non-Hispanic (#)",Females (#),Males (#),FTE Count
Codman Academy Charter Public (District),4380000,33.8,3,5,36.3,0,0.5,2,59.6,21,80.6
Cohasset,650000,4,1.5,2,209.9,0,0,0,171.7,45.7,217.4
Collegiate Charter School of Lowell (District),35030000,5,3,12,71,0,0,0,73,18,91
Community Charter School of Cambridge (District),4360000,12.5,6,14,34.6,0,0,0.5,46.5,21,67.5
Community Day Charter Public School - Gateway (District),4260000,1,1,12.3,54.7,0,0,0,60.6,8.5,69.1
Community Day Charter Public School - Prospect (District),4400000,1,1,21,42.3,0,0,1,52.6,13.7,66.3
Community Day Charter Public School - R. Kingman Webster (District),4310000,2,0,12,43.6,0,0,1,45.2,13.5,58.6
Concord,670000,8.6,12.1,10.4,329.5,0,1,0,305.8,55.8,361.6
Concord-Carlisle,6400000,5.4,4,7.2,175.9,0,0,0,113.5,78.9,192.4
Conservatory Lab Charter (District),4390000,19,0,7,39.8,0,0,1,50.5,16.3,66.8
Conway,680000,0,0,0,39.7,0,0,0,35.4,4.3,39.7
Danvers,710000,0,1,5.6,459.9,0,0,3,378.6,91,469.5
Dartmouth,720000,2,0,2.3,436.4,0,0,3,355.8,87.9,443.8
Dedham,730000,5,5,4.6,434,0,0,0,367.7,80.9,448.6
Deerfield,740000,0,0,0,81.6,0,0,0,74,7.6,81.6
Dennis-Yarmouth,6450000,7.2,0,9.9,466.7,0.4,0,4,404.6,83.6,488.2
Dighton-Rehoboth,6500000,1,0,3,340.3,0,0,4,284,64.3,348.3
Douglas,770000,0,1,0,191.6,0,0,0,160.6,32,192.6
Dover,780000,0.3,0,3,77.3,0,0,0,71.4,9.1,80.5
Dover-Sherborn,6550000,4.5,2.7,6.9,157.2,0,1,0,126.2,46.1,172.3
Dracut,790000,3,2.5,4,388.3,0,0,0,336.4,61.4,397.8
Dudley Street Neighborhood Charter School (District),4070000,9.3,0,3.5,5.4,0,0,0,13.7,4.5,18.2
Dudley-Charlton Reg,6580000,0,0,6,431.5,1.8,0,2,348.8,92.4,441.2
Duxbury,820000,0,3.9,2,349.8,0,0,0,288.2,67.4,355.7
East Bridgewater,830000,0.5,1,0,273.4,0,0,0,223.9,51,274.9
East Longmeadow,870000,8,2,13.6,353.1,0,0,2,300,78.7,378.7
Eastham,850000,0,0,0,38.9,0,0,0,36.3,2.5,38.9
Easthampton,860000,2,0,4.3,214.4,0,0,0,179.9,40.8,220.7
Easton,880000,3,3,9,425.7,0,0,3.5,359.2,85,444.1
Edgartown,890000,2.4,0.2,1.7,83.2,0,0,0,73.6,13.9,87.5
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,25.3,2.1,6.3,21.7,0,0,0,33.8,21.6,55.4
Erving,910000,0,0,0,42.7,0,0,3,41.4,4.3,45.7
Essex North Shore Agricultural and Technical School District,8170000,0,2,3,187.8,0,0,0,110.8,82,192.8
Everett,930000,15,21,31.2,702.4,1,2,3,607.5,168.1,775.6
Excel Academy Charter (District),4100000,17.9,5,53.8,140.8,0,0,5.9,173.7,49.7,223.4
Fairhaven,940000,2.5,1,0,236.7,0,0,1,193.6,47.6,241.2
Fall River,950000,38.5,13.6,44.4,"1,358.30",1,1,19.8,"1,185.20",291.3,"1,476.50"
Falmouth,960000,13,3,11,511.4,2,0,8,459.6,88.9,548.5
Farmington River Reg,6620000,0,0,0,27.8,0,0,0,21.2,6.6,27.8
Fitchburg,970000,11.5,7,60.5,584.5,0,0,4,544.2,123.4,667.6
Florida,980000,0,0,0,25.2,0,0,0,19.9,5.3,25.2
Four Rivers Charter Public (District),4130000,1,0,2,32.9,0,0,0,25.3,10.5,35.9
Foxborough,990000,4,4,1,358,0,0,0,293.9,73.1,367
Foxborough Regional Charter (District),4460000,13.3,0,15.8,186.3,0,0,0,169.1,46.3,215.3
Framingham,1000000,35.4,19.5,206.8,"1,088.10",1,0,0,"1,122.80",228,"1,350.80"
Francis W. Parker Charter Essential (District),4780000,2,0,3,63.1,0,0,0,48.6,19.6,68.1
Franklin,1010000,3,7,2,688.6,0,0,0,582.8,117.8,700.6
Franklin County Regional Vocational Technical,8180000,0,0,0,78,1,0,2,31.5,49.5,81
Freetown-Lakeville,6650000,2,0,4,333.2,0,0,1,276.1,64.1,340.2
Frontier,6700000,1,0,0,96,2,0,0,64,35,99
Gardner,1030000,1,4,8,306.3,0,0,3.5,246.3,76.5,322.8
Gateway,6720000,0,0,0,142.8,0,0,2,117.7,27.1,144.8
Georgetown,1050000,0,0,1,171.2,0,0.9,1,142.1,32,174.1
Gill-Montague,6740000,0,2,5,158.9,0,0,1,137.7,29.2,166.9
Global Learning Charter Public (District),4960000,5,0.8,6,61.8,0,1,1,53.9,21.7,75.6
Gloucester,1070000,2,1,5,488.7,1,0,0,407.7,90,497.7
Gosnold,1090000,0,0,0,1.4,0,0,0,1.4,0,1.4
Grafton,1100000,5.8,7,4,448.3,0.8,0,3.8,390.4,79.3,469.7
Granby,1110000,1,2,1,131.8,0,0,1,106.5,30.4,136.8
Greater Fall River Regional Vocational Technical,8210000,2.5,0,1,174.4,0,0,0,87.9,90,177.9
Greater Lawrence Regional Vocational Technical,8230000,0.7,1.8,26.2,157.8,0,0,0.7,113.6,73.5,187.2
Greater Lowell Regional Vocational Technical,8280000,5,6.7,11,271.4,1,0,0,186.1,109,295.1
Greater New Bedford Regional Vocational Technical,8250000,4.3,1,5,240.3,2,0,0,139,113.6,252.6
Greenfield,1140000,1,2,8,272.8,0,0,3,228.5,58.3,286.8
Greenfield Commonwealth Virtual District,39010000,1,1,1,81.5,0,0,0,60.3,24.2,84.5
Groton-Dunstable,6730000,0,1,1,333.1,1,0,1,277.7,59.4,337.1
Hadley,1170000,2,1,3,83.5,0,0,0,69.5,20,89.5
Halifax,1180000,0,0,0,68.5,0,0,0,58.8,9.7,68.5
Hamilton-Wenham,6750000,0,3.8,3.7,248,0,0,2,211,46.6,257.6
Hampden Charter School of Science East (District),4990000,2,2.5,3,58,0,0,0,36.5,29,65.5
Hampden Charter School of Science West (District),35160000,4,1,2,42,0,0,0,28.5,20.5,49
Hampden-Wilbraham,6800000,2.5,0,7.8,390.6,0,0,3,337.9,66,403.9
Hampshire,6830000,1,1,0,111.9,0,0,0,82.7,31.1,113.9
Hancock,1210000,0,0,0,15.7,0,0,0,13.7,2,15.7
Hanover,1220000,2,1,2,336,1,0,0,280.1,61.9,342
Harvard,1250000,1,2.5,3.5,142.7,0,1,0,120.7,30,150.7
Hatfield,1270000,0,0,1,65.9,0,0,0,51.4,15.5,66.9
Haverhill,1280000,6,10,76.6,"1,014.20",2,0,2,913.6,197.2,"1,110.80"
Hawlemont,6850000,0,0,0,25.8,0,0,0,23.4,2.4,25.8
Helen Y. Davis Leadership Academy Charter Public (District),4190000,20.5,1,5,3,0,0,2,21.5,10,31.5
Hill View Montessori Charter Public (District),4550000,1,0,1,34,0,0,1,32,5,37
Hilltown Cooperative Charter Public (District),4500000,0.9,0,0.4,41.4,0,0,0,36.3,6.4,42.7
Hingham,1310000,4,3.3,5,518.2,1,0,3,442.2,92.2,534.5
Holbrook,1330000,3,2,2,144.8,0,0,1,127,25.8,152.8
Holland,1350000,0,1,0,28.8,0,0,0,27.3,2.5,29.8
Holliston,1360000,4,4,5.5,400.5,1,0,2,342.8,74.3,417
Holyoke,1370000,55.5,9.2,301.1,561,3,0,1,719.9,209.8,930.8
Holyoke Community Charter (District),4530000,5,0,37,55,0,0,0,70,27,97
Hoosac Valley Regional,6030000,3,0,0,201,0,1,0,166,39,205
Hopedale,1380000,0,0,3,181.1,0,0,1,155.3,29.8,185.1
Hopkinton,1390000,4.9,15.2,7.9,472.1,0,0,0,402.3,97.8,500.1
