District Name,District Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Unexcused > 9 days
Francis W. Parker Charter Essential (District),04780000,  94.1,   9.7,  31.6,  14.7,   0.0
Franklin,01010000,  96.6,   5.6,  12.5,   6.5,   2.3
Franklin County Regional Vocational Technical,08180000,  90.9,  15.1,  54.6,  33.4,   0.0
Freetown-Lakeville,06650000,  96.4,   6.0,  20.2,   8.4,   2.6
Frontier,06700000,  95.2,   8.0,  18.4,  11.1,   0.4
Gardner,01030000,  90.4,  15.4,  44.9,  31.1,  13.6
Gateway,06720000,  94.5,   9.1,  28.8,  15.7,   5.9
Georgetown,01050000,  96.9,   5.2,  13.7,   5.1,   0.9
Gill-Montague,06740000,  91.5,  13.9,  41.0,  28.0,   3.7
Global Learning Charter Public (District),04960000,  95.5,   7.4,  22.7,  10.4,   1.2
Gloucester,01070000,  90.1,  16.2,  50.7,  31.8,  30.8
Gosnold,01090000,  75.5,  30.8,  87.5, 100.0,   0.0
Grafton,01100000,  94.4,   9.4,  30.6,  16.9,  10.3
Granby,01110000,  96.0,   6.6,  19.2,  10.3,   5.3
Greater Fall River Regional Vocational Technical,08210000,  96.5,   5.8,  17.1,   6.2,   1.3
Greater Lawrence Regional Vocational Technical,08230000,  93.3,  11.2,  38.8,  21.0,   6.4
Greater Lowell Regional Vocational Technical,08280000,  93.7,  10.5,  35.0,  17.0,   5.2
Greater New Bedford Regional Vocational Technical,08250000,  94.9,   8.5,  30.8,  13.1,   8.2
Greenfield,01140000,  90.0,  16.4,  40.3,  30.1,  31.3
Greenfield Commonwealth Virtual District,39010000,  86.7,  19.7,  38.3,  34.4,   0.0
Groton-Dunstable,06730000,  96.8,   5.3,  14.1,   5.2,   4.8
Hadley,01170000,  96.3,   6.0,  18.4,   9.9,   1.1
Halifax,01180000,  96.8,   5.3,  16.6,   4.2,   5.0
Hamilton-Wenham,06750000,  95.1,   8.2,  17.5,   8.6,   3.5
Hampden Charter School of Science East (District),04990000,  97.1,   4.9,  10.9,   5.1,   0.7
Hampden Charter School of Science West (District),35160000,  97.0,   5.0,  12.2,   6.4,   7.6
Hampden-Wilbraham,06800000,  94.8,   8.7,  28.4,  13.4,   8.7
Hampshire,06830000,  86.0,  23.4,  99.1,  66.4,   0.0
Hancock,01210000,  96.2,   5.7,  22.2,   6.3,   0.0
Hanover,01220000,  96.0,   6.5,  19.5,   7.3,   8.7
Harvard,01250000,  96.6,   5.7,  13.7,   5.4,   2.4
Hatfield,01270000,  92.7,  12.2,  42.9,  24.3,   0.2
Haverhill,01280000,  90.4,  15.6,  42.9,  29.2,  11.3
Hawlemont,06850000,  95.5,   7.3,  23.4,  13.3,   2.3
Helen Y. Davis Leadership Academy Charter Public (District),04190000,  84.8,  26.0,  67.0,  53.8,   0.0
Hill View Montessori Charter Public (District),04550000,  96.8,   5.2,  13.4,   7.0,   0.3
Hilltown Cooperative Charter Public (District),04500000,  96.9,   5.3,  11.5,   6.4,   0.0
Hingham,01310000,  96.5,   5.8,  16.0,   6.3,   2.2
Holbrook,01330000,  95.7,   7.0,  24.4,  12.5,   9.2
Holland,01350000,  96.8,   5.3,  18.4,   4.9,  11.2
Holliston,01360000,  96.7,   5.6,  14.5,   5.5,   0.0
Holyoke,01370000,  84.5,  25.1,  62.0,  45.5,  11.3
Holyoke Community Charter (District),04530000,  97.8,   3.7,  11.0,   3.1,   5.9
Hoosac Valley Regional,06030000,  90.2,  16.0,  49.5,  34.2,   3.0
Hopedale,01380000,  96.8,   5.4,  14.0,   6.4,   3.8
Hopkinton,01390000,  96.9,   5.2,  14.7,   5.7,   1.8
Hudson,01410000,  92.9,  11.7,  33.8,  22.8,   7.5
Hull,01420000,  91.2,  14.5,  45.0,  27.3,  14.3
Innovation Academy Charter (District),04350000,  95.8,   7.0,  16.1,   9.4,   0.0
Ipswich,01440000,  97.5,   4.3,  10.6,   3.8,   2.1
KIPP Academy Boston Charter School (District),04630000,  87.8,  20.9,  64.8,  41.0,   1.1
KIPP Academy Lynn Charter (District),04290000,  89.8,  17.9,  56.3,  34.8,   0.1
King Philip,06900000,  90.5,  15.9,  42.7,  27.6,   7.1
Kingston,01450000,  95.7,   7.1,  22.4,   9.2,   1.7
Lawrence,01490000,  94.0,  10.3,  25.6,  17.2,   4.5
Lawrence Family Development Charter (District),04540000,  96.6,   5.8,  18.5,   7.5,   2.2
Learning First Charter Public School (District),04860000,  97.2,   4.8,  15.6,   3.9,   0.1
Lee,01500000,  95.0,   8.1,  31.5,  10.9,   2.7
Leicester,01510000,  93.3,  11.1,  37.4,  20.7,   2.2
Lenox,01520000,  97.0,   5.0,  13.0,   6.1,   3.8
Leominster,01530000,  92.8,  11.7,  34.9,  23.2,  27.1
Leverett,01540000,  96.1,   6.3,  21.0,  10.1,   2.5
Lexington,01550000,  97.7,   3.8,  10.2,   4.3,   0.7
Libertas Academy Charter School (District),35140000,  94.8,   8.6,  22.8,  14.6,  20.1
Lincoln,01570000,  95.6,   7.0,  26.4,  10.8,   0.3
Lincoln-Sudbury,06950000,  97.2,   4.7,  11.6,   4.3,   0.3
Littleton,01580000,  97.4,   4.4,   9.5,   5.0,   1.5
Longmeadow,01590000,  97.6,   4.0,   9.7,   3.7,   0.1
Lowell,01600000,  92.4,  12.5,  35.5,  23.0,   6.5
Lowell Community Charter Public (District),04560000,  94.6,   9.0,  30.4,  16.1,   2.2
Lowell Middlesex Academy Charter (District),04580000,  48.6,  74.9,  89.9,  84.8,   0.0
Ludlow,01610000,  95.2,   8.0,  24.8,  12.1,   4.0
Lunenburg,01620000,  95.3,   7.6,  25.9,  13.1,   0.1
Lynn,01630000,  92.2,  12.9,  35.6,  23.3,   0.0
Lynnfield,01640000,  97.1,   4.9,  12.6,   3.5,   2.4
MATCH Charter Public School (District),04690000,  91.8,  13.7,  36.0,  23.7,   0.0
Ma Academy for Math and Science,04680000,  99.6,   0.6,   2.0,   2.0,   2.0
Malden,01650000,  93.3,  10.5,  28.7,  20.2,   3.4
Manchester Essex Regional,06980000,  95.8,   7.0,  18.7,   8.4,   0.6
Mansfield,01670000,  97.0,   5.0,  12.9,   6.6,   3.7
Map Academy Charter School (District),35170000,  47.4,  81.5,  97.2,  97.7,   0.0
Marblehead,01680000,  95.5,   7.5,  23.5,  12.5,   2.8
Marblehead Community Charter Public (District),04640000,  97.4,   4.5,  12.6,   4.0,   2.2
Marion,01690000,  96.2,   6.1,  18.8,   8.9,   1.4
Marlborough,01700000,  92.2,  12.6,  39.3,  25.9,  16.9
Marshfield,01710000,  96.4,   6.3,  19.3,   6.2,  11.1
Martha's Vineyard,07000000,  94.5,   9.1,  17.3,  13.5,   0.3
Martha's Vineyard Charter (District),04660000,  92.3,  13.1,  47.2,  32.8,  13.3
Martin Luther King Jr. Charter School of Excellence (District),04920000,  92.4,  13.1,  46.7,  22.3,   0.0
Masconomet,07050000,  96.8,   5.4,  12.2,   6.3,   4.8
Mashpee,01720000,  93.9,  10.0,  32.1,  18.4,   2.7
Mattapoisett,01730000,  95.4,   7.5,  22.7,  10.3,   2.4
Maynard,01740000,  90.8,  15.0,  38.5,  25.6,   9.9
Medfield,01750000,  95.9,   6.7,  22.2,   9.9,   2.5
Medford,01760000,  93.5,  10.7,  30.0,  19.6,   9.6
Medway,01770000,  95.5,   7.6,  24.9,  10.3,   6.8
Melrose,01780000,  96.7,   5.5,  14.6,   7.3,   4.7
Mendon-Upton,07100000,  95.4,   7.6,  25.0,  11.4,   0.0
Methuen,01810000,  93.9,  10.0,  25.6,  16.7,  10.0
Middleborough,01820000,  94.0,   9.9,  33.1,  16.4,  11.9
Middleton,01840000,  96.1,   6.4,  23.8,   7.3,  20.1
Milford,01850000,  91.8,  13.3,  41.2,  26.6,  10.0
Millbury,01860000,  94.9,   8.6,  30.1,  13.3,  10.1
Millis,01870000,  96.2,   6.3,  13.7,   6.1,   0.0
Milton,01890000,  96.7,   5.6,  15.2,   6.4,   4.1
Minuteman Regional Vocational Technical,08300000,  95.8,   7.0,  19.2,  10.8,   3.5
Mohawk Trail,07170000,  93.9,   9.9,  32.6,  14.9,   5.3
Monomoy Regional School District,07120000,  93.5,  10.8,  37.5,  19.8,  17.5
Monson,01910000,  95.1,   8.0,  24.8,  12.7,   2.6
Montachusett Regional Vocational Technical,08320000,  93.3,  11.2,  44.3,  23.1,   7.5
Mount Greylock,07150000,  95.6,   7.2,  23.1,  11.5,   2.0
Mystic Valley Regional Charter (District),04700000,  95.1,   9.4,  34.5,   8.8,   0.1
Nahant,01960000,  96.2,   6.3,  24.7,   8.9,   7.0
Nantucket,01970000,  94.2,   9.4,  31.9,  15.6,   5.0
Narragansett,07200000,  93.1,  11.2,  31.5,  19.5,   5.9
Nashoba,07250000,  95.8,   7.0,  19.7,   8.3,   0.4
Nashoba Valley Regional Vocational Technical,08520000,  97.1,   4.7,  11.5,   3.1,   4.8
Natick,01980000,  96.1,   6.5,  18.9,   8.6,   1.5
Nauset,06600000,  91.4,  14.4,  46.7,  26.0,   9.4
Needham,01990000,  97.2,   4.7,  11.0,   4.0,   0.2
Neighborhood House Charter (District),04440000,  90.8,  16.3,  44.5,  29.5,   0.9
New Bedford,02010000,  87.3,  20.9,  53.8,  39.2,  17.9
New Heights Charter School of Brockton (District),35130000,  92.5,  12.5,  47.0,  24.7,   4.3
New Salem-Wendell,07280000,  95.3,   7.5,  23.1,  14.9,   0.7
Newburyport,02040000,  97.0,   5.0,  12.6,   5.3,   0.1
Newton,02070000,  96.9,   5.2,  13.0,   6.4,   1.9
Norfolk,02080000,  97.5,   4.2,   9.9,   3.1,   0.1
Norfolk County Agricultural,09150000,  94.0,  10.1,  38.7,  16.0,  10.1
North Adams,02090000,  84.1,  25.9,  58.5,  48.7,   8.5
North Andover,02110000,  95.7,   7.3,  22.5,  10.1,   7.3
North Attleborough,02120000,  95.5,   7.4,  21.0,  10.7,   7.3
North Brookfield,02150000,  92.0,  13.0,  45.0,  25.6,  33.6
North Middlesex,07350000,  94.9,   8.3,  24.9,  12.7,   7.2
North Reading,02170000,  97.3,   4.4,   9.9,   4.0,   1.6
Northampton,02100000,  94.7,   8.7,  24.0,  13.8,   3.8
Northampton-Smith Vocational Agricultural,04060000,  92.2,  12.9,  47.3,  26.5,  18.9
Northboro-Southboro,07300000,  92.6,  12.5,  45.8,  24.6,   0.1
Northborough,02130000,  96.2,   6.4,  20.2,   9.7,   0.0
Northbridge,02140000,  93.7,  10.3,  31.0,  19.5,   6.2
Northeast Metropolitan Regional Vocational Technical,08530000,  93.6,  11.0,  34.5,  19.7,   7.8
Northern Berkshire Regional Vocational Technical,08510000,  92.1,  12.9,  42.0,  24.0,  16.8
Norton,02180000,  94.7,   8.8,  28.2,  13.2,   8.9
Norwell,02190000,  95.9,   6.8,  22.0,   7.0,   6.8
Norwood,02200000,  95.2,   7.9,  23.2,  12.9,   9.5
Oak Bluffs,02210000,  94.7,   8.4,  32.2,  14.3,   9.9
Old Colony Regional Vocational Technical,08550000,  96.4,   6.3,  22.7,   5.7,   4.8
Old Rochester,07400000,  93.5,  10.9,  38.0,  20.6,   1.7
Old Sturbridge Academy Charter Public School (District),35150000,  96.8,   5.8,  19.9,   1.8,   7.4
Orange,02230000,  93.5,  10.9,  32.0,  20.2,   1.6
Orleans,02240000,  95.0,   8.4,  34.8,  11.0,  22.7
Oxford,02260000,  94.3,   9.4,  26.0,  15.2,   4.6
Palmer,02270000,  94.0,   9.6,  24.6,  18.1,   5.1
Pathfinder Regional Vocational Technical,08600000,  95.9,   6.8,  22.6,   4.7,   0.0
Paulo Freire Social Justice Charter School (District),35010000,  71.9,  45.2,  73.0,  62.6,  11.1
Peabody,02290000,  90.0,  16.5,  48.4,  33.8,  22.6
Pelham,02300000,  96.0,   6.3,  17.9,  14.3,   0.0
Pembroke,02310000,  93.5,  10.9,  36.1,  18.7,   4.8
Pentucket,07450000,  96.5,   5.8,  16.7,   5.9,   2.5
Petersham,02340000,  97.4,   4.4,  13.0,   4.9,   0.0
Phoenix Academy Public Charter High School Lawrence (District),35180000,  30.7, 105.7,  99.4, 100.0,  72.7
Phoenix Academy Public Charter High School Springfield (District),35080000,  33.0, 102.0,  99.1,  99.6,  60.4
Phoenix Charter Academy (District),04930000,  38.0,  97.8,  99.6,  98.2,  76.7
Pioneer Charter School of Science (District),04940000,  97.3,   4.8,  10.6,   3.1,   0.9
Pioneer Charter School of Science II (PCSS-II) (District),35060000,  96.5,   6.2,  22.6,   8.2,   0.3
Pioneer Valley,07500000,  96.9,   5.0,  11.7,   5.9,   2.6
Pioneer Valley Chinese Immersion Charter (District),04970000,  97.4,   4.4,  13.7,   4.6,   0.4
Pioneer Valley Performing Arts Charter Public (District),04790000,  95.2,   7.9,  24.4,  12.2,   0.0
Pittsfield,02360000,  90.6,  15.5,  43.1,  29.5,   4.4
Plainville,02380000,  95.2,   7.8,  25.0,  13.2,   3.0
Plymouth,02390000,  95.0,   8.3,  28.5,  11.9,  12.7
Plympton,02400000,  96.5,   5.8,  16.1,   4.9,   4.0
Prospect Hill Academy Charter (District),04870000,  94.7,   8.9,  31.0,  16.9,  11.8
Provincetown,02420000,  91.6,  12.1,  36.3,  26.1,   7.6
Quabbin,07530000,  88.7,  18.7,  44.8,  29.7,  12.2
Quaboag Regional,07780000,  92.7,  11.9,  34.6,  20.8,   0.0
Quincy,02430000,  94.9,   8.3,  25.0,  15.0,  10.2
Ralph C Mahar,07550000,  86.4,  23.9,  66.7,  61.1,   0.0
Randolph,02440000,  91.6,  13.5,  41.4,  28.0,  10.2
Reading,02460000,  96.5,   5.8,  15.5,   6.9,   2.5
Revere,02480000,  94.1,   9.7,  28.0,  16.7,   7.8
Richmond,02490000,  94.7,   8.9,  24.0,  15.6,   7.8
Rising Tide Charter Public (District),04830000,  94.4,   9.1,  30.9,  17.9,   1.8
River Valley Charter (District),04820000,  95.9,   6.8,  22.9,   6.8,  15.7
Rochester,02500000,  97.1,   4.7,  11.5,   3.0,   0.4
Rockland,02510000,  79.9,  33.6,  53.7,  35.4,  16.0
Rockport,02520000,  96.5,   6.0,  15.4,   6.9,   2.5
Rowe,02530000,  94.7,   9.1,  42.9,   9.5,   0.0
Roxbury Preparatory Charter (District),04840000,  94.4,   9.6,  33.6,  16.5,  26.6
Sabis International Charter (District),04410000,  97.9,   3.4,   9.1,   3.8,   8.4
Salem,02580000,  89.9,  16.5,  45.1,  30.5,  17.8
Salem Academy Charter (District),04850000,  94.0,  10.3,  30.3,  14.1,   3.4
Sandwich,02610000,  95.1,   8.2,  30.6,  11.1,   1.7
Saugus,02620000,  94.4,   9.4,  28.4,  16.3,  20.1
Savoy,02630000,  95.7,   7.4,  31.1,   4.4,   2.2
Scituate,02640000,  94.4,   9.3,  34.4,  15.4,   6.5
Seekonk,02650000,  94.9,   8.5,  27.8,  13.7,   3.3
Sharon,02660000,  96.9,   5.1,  12.0,   6.6,   0.0
Shawsheen Valley Regional Vocational Technical,08710000,  95.6,   7.4,  25.4,   7.9,   5.1
Sherborn,02690000,  96.8,   5.5,  16.1,   5.6,  10.7
Shrewsbury,02710000,  96.4,   5.9,  17.1,   8.3,   0.0
Shutesbury,02720000,  95.6,   7.1,  21.2,  10.2,   0.0
Silver Lake,07600000,  95.0,   8.3,  28.3,  10.3,   4.9
Sizer School: A North Central Charter Essential (District),04740000,  93.2,  11.4,  36.1,  19.0,   0.0
Somerset,02730000,  96.2,   6.4,  19.8,   9.0,   3.7
Somerset Berkley Regional School District,07630000,  95.1,   8.1,  18.3,  11.4,   5.9
Somerville,02740000,  94.8,   8.9,  26.1,  14.7,   3.5
South Hadley,02780000,  92.2,  13.1,  34.8,  21.7,   3.4
South Middlesex Regional Vocational Technical,08290000,  91.6,  13.7,  40.9,  27.1,   5.9
South Shore Charter Public (District),04880000,  96.2,   6.6,  18.6,   8.4,   2.6
South Shore Regional Vocational Technical,08730000,  95.5,   7.7,  24.3,   8.2,  12.7
Southampton,02750000,  96.9,   5.1,  14.6,   5.4,   0.0
Southborough,02760000,  96.4,   6.0,  20.6,   8.3,   0.0
Southbridge,02770000,  86.3,  21.6,  65.0,  47.7,  30.6
Southeastern Regional Vocational Technical,08720000,  93.6,  10.6,  36.5,  19.8,   0.0
Southern Berkshire,07650000,  91.3,  14.2,  41.8,  27.3,   8.1
Southern Worcester County Regional Vocational Technical,08760000,  91.9,  13.8,  53.2,  26.1,  13.8
Southwick-Tolland-Granville Regional School District,07660000,  94.8,   8.6,  29.4,  14.4,   4.7
Spencer-E Brookfield,07670000,  90.1,  16.3,  47.0,  31.8,   0.0
Springfield,02810000,  92.4,  12.4,  38.4,  24.8,  33.5
Springfield Preparatory Charter School (District),35100000,  96.0,   7.0,  23.6,   9.2,  13.6
Stoneham,02840000,  95.3,   7.9,  24.2,  12.2,   0.0
Stoughton,02850000,  94.8,   8.6,  26.6,  13.9,   0.1
Sturbridge,02870000,  97.6,   3.9,   9.6,   4.0,   5.2
Sturgis Charter Public (District),04890000,  95.5,   7.6,  23.6,  10.8,   4.0
Sudbury,02880000,  97.7,   3.8,   8.1,   2.9,   0.6
Sunderland,02890000,  93.1,  10.7,  36.5,  23.0,   6.0
Sutton,02900000,  96.6,   5.5,  16.6,   7.3,   0.8
Swampscott,02910000,  93.0,  11.5,  35.5,  19.3,  11.6
Swansea,02920000,  93.7,  10.4,  32.9,  17.7,   8.0
TEC Connections Academy Commonwealth Virtual School District,39020000,  90.2,  15.5,  30.4,  26.5,   0.0
Tantasqua,07700000,  95.7,   7.2,  21.2,  10.5,   1.2
Taunton,02930000,  90.3,  15.8,  41.7,  29.4,  10.4
Tewksbury,02950000,  97.1,   4.9,  12.1,   5.7,   3.1
Tisbury,02960000,  92.8,  11.2,  43.5,  27.6,   0.0
Topsfield,02980000,  97.6,   3.9,   9.7,   2.5,   3.8
Tri-County Regional Vocational Technical,08780000,  90.4,  16.4,  54.9,  29.6,   0.0
Triton,07730000,  94.4,   9.0,  29.0,  16.6,  10.3
Truro,03000000,  94.4,   9.2,  30.5,  11.9,  23.7
Tyngsborough,03010000,  96.0,   6.7,  20.4,   8.7,   1.2
UP Academy Charter School of Boston (District),04800000,  93.9,  10.7,  28.9,  19.0,   0.6
UP Academy Charter School of Dorchester (District),35050000,  93.0,  12.5,  35.5,  19.5,   0.0
Up-Island Regional,07740000,  93.6,  10.4,  41.8,  22.4,  34.1
Upper Cape Cod Regional Vocational Technical,08790000,  91.4,  14.9,  52.4,  30.2,   5.5
Uxbridge,03040000,  94.2,   9.5,  33.1,  18.0,   9.9
Veritas Preparatory Charter School (District),04980000,  93.0,  12.2,  36.5,  22.2,  22.4
Wachusett,07750000,  94.4,   9.2,  26.3,  16.2,   0.0
Wakefield,03050000,  94.9,   8.5,  29.0,  13.6,   1.8
Wales,03060000,  96.8,   5.3,  16.9,   4.6,  10.0
Walpole,03070000,  95.3,   8.0,  23.4,  11.1,   5.1
Waltham,03080000,  93.4,  10.6,  30.1,  20.1,   9.7
Ware,03090000,  90.0,  15.9,  50.1,  35.9,  10.8
Wareham,03100000,  92.0,  13.1,  42.2,  26.8,   0.4
Watertown,03140000,  95.5,   7.6,  21.5,  11.7,   3.0
Wayland,03150000,  90.7,  15.6,  39.0,  34.9,   0.3
Webster,03160000,  90.1,  15.9,  46.7,  33.2,   0.6
Wellesley,03170000,  98.2,   3.0,   5.9,   2.2,   0.0
Wellfleet,03180000,  93.5,  10.8,  43.0,  21.5,  19.6
West Boylston,03220000,  95.2,   8.0,  24.0,  10.7,   7.7
West Bridgewater,03230000,  96.3,   6.2,  18.3,   6.5,   3.0
West Springfield,03320000,  93.6,  10.4,  28.5,  18.4,   0.0
Westborough,03210000,  92.8,  12.1,  38.2,  18.5,   3.0
Westfield,03250000,  94.2,   9.5,  28.9,  17.6,  16.1
Westford,03260000,  97.1,   4.8,  12.8,   5.3,   0.4
Westhampton,03270000,  95.6,   7.3,  22.5,  12.6,   0.0
Weston,03300000,  97.2,   4.8,  12.5,   4.0,   3.3
Westport,03310000,  94.5,   9.2,  29.3,  15.8,   4.8
Westwood,03350000,  97.6,   4.0,   9.2,   3.2,   2.3
Weymouth,03360000,  92.3,  12.4,  34.4,  23.1,   8.1
Whately,03370000,  96.2,   6.3,  17.6,   5.9,   1.7
Whitman-Hanson,07800000,  94.5,   9.0,  27.7,  13.6,   8.6
Whittier Regional Vocational Technical,08850000,  94.7,   8.8,  32.5,  13.1,   9.1
Williamsburg,03400000,  95.7,   7.0,  21.1,  12.2,   0.0
Wilmington,03420000,  95.5,   7.5,  23.2,  12.0,   4.7
Winchendon,03430000,  92.8,  11.4,  33.3,  22.1,   9.8
Winchester,03440000,  96.9,   5.1,  14.2,   5.6,   4.1
Winthrop,03460000,  94.6,   9.0,  29.3,  13.6,   1.8
