District/School Name,District/School Code,African American (#),Asian (#),Hispanic (#),White (#),Native American (#),"Native Hawaiian, Pacific Islander (#)","Multi-Race,Non-Hispanic (#)",Females (#),Males (#),FTE Count
Hampden Charter School of Science East (District),04990000,          2.0,          2.5,          3.0,         58.0,          0.0,          0.0,          0.0,         36.5,         29.0,         65.5
Hampden Charter School of Science West (District),35160000,          4.0,          1.0,          2.0,         42.0,          0.0,          0.0,          0.0,         28.5,         20.5,         49.0
Hampden-Wilbraham,06800000,          2.5,          0.0,          7.8,        390.6,          0.0,          0.0,          3.0,        337.9,         66.0,        403.9
Hampshire,06830000,          1.0,          1.0,          0.0,        111.9,          0.0,          0.0,          0.0,         82.7,         31.1,        113.9
Hancock,01210000,          0.0,          0.0,          0.0,         15.7,          0.0,          0.0,          0.0,         13.7,          2.0,         15.7
Hanover,01220000,          2.0,          1.0,          2.0,        336.0,          1.0,          0.0,          0.0,        280.1,         61.9,        342.0
Harvard,01250000,          1.0,          2.5,          3.5,        142.7,          0.0,          1.0,          0.0,        120.7,         30.0,        150.7
Hatfield,01270000,          0.0,          0.0,          1.0,         65.9,          0.0,          0.0,          0.0,         51.4,         15.5,         66.9
Haverhill,01280000,          6.0,         10.0,         76.6,"      1,014.2",          2.0,          0.0,          2.0,        913.6,        197.2,"      1,110.8"
Hawlemont,06850000,          0.0,          0.0,          0.0,         25.8,          0.0,          0.0,          0.0,         23.4,          2.4,         25.8
Helen Y. Davis Leadership Academy Charter Public (District),04190000,         20.5,          1.0,          5.0,          3.0,          0.0,          0.0,          2.0,         21.5,         10.0,         31.5
Hill View Montessori Charter Public (District),04550000,          1.0,          0.0,          1.0,         34.0,          0.0,          0.0,          1.0,         32.0,          5.0,         37.0
Hilltown Cooperative Charter Public (District),04500000,          0.9,          0.0,          0.4,         41.4,          0.0,          0.0,          0.0,         36.3,          6.4,         42.7
Hingham,01310000,          4.0,          3.3,          5.0,        518.2,          1.0,          0.0,          3.0,        442.2,         92.2,        534.5
Holbrook,01330000,          3.0,          2.0,          2.0,        144.8,          0.0,          0.0,          1.0,        127.0,         25.8,        152.8
Holland,01350000,          0.0,          1.0,          0.0,         28.8,          0.0,          0.0,          0.0,         27.3,          2.5,         29.8
Holliston,01360000,          4.0,          4.0,          5.5,        400.5,          1.0,          0.0,          2.0,        342.8,         74.3,        417.0
Holyoke,01370000,         55.5,          9.2,        301.1,        561.0,          3.0,          0.0,          1.0,        719.9,        209.8,        930.8
Holyoke Community Charter (District),04530000,          5.0,          0.0,         37.0,         55.0,          0.0,          0.0,          0.0,         70.0,         27.0,         97.0
Hoosac Valley Regional,06030000,          3.0,          0.0,          0.0,        201.0,          0.0,          1.0,          0.0,        166.0,         39.0,        205.0
Hopedale,01380000,          0.0,          0.0,          3.0,        181.1,          0.0,          0.0,          1.0,        155.3,         29.8,        185.1
Hopkinton,01390000,          4.9,         15.2,          7.9,        472.1,          0.0,          0.0,          0.0,        402.3,         97.8,        500.1
Hudson,01410000,          1.0,          4.0,          8.0,        431.1,          0.0,          0.0,          0.0,        376.5,         67.6,        444.1
Hull,01420000,          0.0,          0.0,          0.1,        139.8,          0.0,          0.0,          0.0,        111.7,         28.2,        139.9
Innovation Academy Charter (District),04350000,          1.8,          3.6,          5.5,         97.4,          0.0,          0.0,          1.0,         80.7,         28.7,        109.3
Ipswich,01440000,          0.0,          0.0,          6.0,        285.6,          0.0,          1.0,          0.0,        246.7,         45.9,        292.6
KIPP Academy Boston Charter School (District),04630000,         35.2,          1.0,         16.5,         36.7,          1.0,          0.0,          3.0,         70.7,         22.3,         93.4
KIPP Academy Lynn Charter (District),04290000,         57.1,         13.6,         27.5,        104.4,          0.0,          0.0,          5.5,        150.0,         56.6,        208.1
King Philip,06900000,          2.0,          3.0,          3.9,        233.8,          0.0,          0.0,          0.0,        176.0,         66.7,        242.7
Kingston,01450000,          0.0,          0.0,          0.0,        135.6,          0.0,          0.0,          0.0,        119.5,         16.1,        135.6
Lawrence,01490000,         24.0,          2.0,        472.9,"      1,349.6",         20.5,          0.0,          5.0,"      1,461.7",        411.3,"      1,874.0"
Lawrence Family Development Charter (District),04540000,          1.0,          6.0,         25.0,         67.5,          0.0,          0.0,          0.0,         85.5,         14.0,         99.5
Learning First Charter Public School (District),04860000,          6.0,          1.0,         11.0,         62.5,          0.0,          0.0,          0.0,         67.5,         13.0,         80.5
Lee,01500000,          0.0,          2.0,          2.0,        128.0,          0.0,          0.0,          0.0,        110.0,         22.0,        132.0
Leicester,01510000,          0.0,          3.0,          7.3,        194.6,          0.0,          0.0,          0.0,        172.3,         32.6,        204.9
Lenox,01520000,          0.0,          0.0,          2.0,        139.6,          0.0,          0.0,          0.0,        112.4,         29.2,        141.6
Leominster,01530000,         12.5,          6.0,         29.8,        647.1,          0.0,          0.0,          0.0,        568.9,        126.5,        695.4
Leverett,01540000,          1.0,          0.0,          0.0,         26.0,          0.0,          0.0,          0.0,         23.8,          3.1,         27.0
Lexington,01550000,         35.2,         68.0,         37.5,        989.5,          0.9,          0.5,         12.4,        928.6,        215.4,"      1,144.0"
Libertas Academy Charter School (District),35140000,          6.0,          0.0,         11.0,         26.2,          0.0,          0.0,          3.0,         31.2,         15.0,         46.2
Lincoln,01570000,          7.0,          5.8,          3.7,        214.2,          1.0,          0.0,          1.0,        203.7,         28.9,        232.6
Lincoln-Sudbury,06950000,          6.9,          3.5,          4.8,        205.5,          1.0,          0.0,          1.0,        138.1,         84.6,        222.7
Littleton,01580000,          0.8,          1.8,          1.8,        201.5,          0.0,          0.0,          3.0,        175.0,         33.8,        208.8
Longmeadow,01590000,          2.0,          3.0,          6.0,        399.6,          0.0,          0.0,          1.0,        338.9,         72.7,        411.6
Lowell,01600000,         39.0,         86.0,        129.5,"      1,664.4",          2.0,          0.5,          9.0,"      1,557.0",        373.4,"      1,930.4"
Lowell Community Charter Public (District),04560000,          4.0,         10.0,         13.0,         68.0,          0.0,          0.0,          1.0,         72.0,         24.0,         96.0
Lowell Middlesex Academy Charter (District),04580000,          0.0,          1.0,          2.0,         12.5,          0.0,          0.0,          0.0,         11.0,          4.5,         15.5
Ludlow,01610000,          4.0,          1.0,          5.0,        394.8,          0.0,          0.0,          0.0,        337.8,         66.0,        404.8
Lunenburg,01620000,          0.0,          0.0,          0.0,        224.0,          0.0,          1.0,          0.0,        182.4,         42.6,        225.0
Lynn,01630000,         50.1,         22.0,        167.1,"      1,622.6",          2.0,          1.0,         17.0,"      1,476.4",        403.3,"      1,881.7"
Lynnfield,01640000,          1.0,          4.0,          3.0,        304.2,          0.0,          0.0,          1.0,        264.4,         48.8,        313.2
MATCH Charter Public School (District),04690000,         68.8,         13.7,         35.1,        142.0,          1.0,          0.0,          7.5,        194.6,         73.5,        268.1
Ma Academy for Math and Science,04680000,          0.0,          0.0,          0.0,          8.0,          0.0,          0.0,          1.0,          5.0,          4.0,          9.0
Malden,01650000,         41.0,         30.8,         20.0,        704.3,          0.0,          0.0,          9.0,        666.6,        138.4,        805.0
Manchester Essex Regional,06980000,          0.0,          1.6,          3.0,        196.0,          0.0,          0.0,          0.0,        155.1,         45.5,        200.6
Mansfield,01670000,          3.6,          4.0,          9.3,        489.1,          0.0,          0.0,          2.0,        413.8,         93.2,        508.0
Map Academy Charter School (District),35170000,          2.0,          0.0,          1.0,         26.8,          0.0,          0.0,          0.0,         17.9,         11.9,         29.8
Marblehead,01680000,          2.0,          4.0,          7.8,        445.6,          0.0,          1.0,          5.9,        375.3,         91.0,        466.3
Marblehead Community Charter Public (District),04640000,          0.0,          0.0,          0.0,         34.8,          0.0,          0.0,          1.0,         26.8,          9.0,         35.8
Marion,01690000,          1.3,          1.0,          0.0,         62.9,          0.0,          0.0,          0.0,         58.8,          6.3,         65.1
Marlborough,01700000,          7.0,          7.8,         37.0,        679.3,          2.0,          0.0,          1.0,        595.0,        139.1,        734.1
Marshfield,01710000,          3.0,          2.0,          7.0,        578.8,          3.0,          0.0,          0.0,        500.2,         93.6,        593.8
Martha's Vineyard,07000000,          2.1,          1.7,          2.2,        113.1,          1.0,          0.0,          3.0,         83.2,         39.9,        123.1
Martha's Vineyard Charter (District),04660000,          1.0,          0.0,          0.0,         39.3,          0.0,          0.0,          1.0,         33.8,          7.5,         41.3
Martin Luther King Jr. Charter School of Excellence (District),04920000,         13.5,          0.0,         11.5,         33.6,          0.0,          0.0,          1.0,         48.6,         11.0,         59.6
Masconomet,07050000,          2.0,          3.4,          1.0,        226.8,          0.0,          0.0,          1.0,        152.6,         81.6,        234.2
Mashpee,01720000,          3.0,          1.0,          1.0,        228.2,          1.0,          0.8,          0.0,        195.2,         39.8,        235.0
Mattapoisett,01730000,          0.3,          1.0,          0.0,         76.4,          0.0,          0.0,          0.0,         70.1,          7.5,         77.6
Maynard,01740000,          1.0,          4.0,         11.0,        202.4,          0.0,          0.0,          1.0,        174.9,         44.5,        219.4
Medfield,01750000,          1.0,          3.7,          6.0,        367.6,          0.0,          0.0,          1.8,        315.5,         64.6,        380.1
Medford,01760000,          8.0,          9.0,          4.0,        613.8,          0.0,          0.0,          1.0,        499.1,        136.7,        635.8
Medway,01770000,          2.0,          3.8,          2.0,        299.6,          1.0,          0.0,          0.0,        244.5,         63.9,        308.4
Melrose,01780000,          1.0,          7.1,          7.4,        461.5,          0.0,          0.0,          2.6,        389.9,         89.7,        479.6
Mendon-Upton,07100000,          0.0,          0.0,         12.4,        291.9,          0.0,          0.0,          1.0,        254.4,         50.9,        305.3
Methuen,01810000,          3.0,          0.0,         22.2,        763.3,          1.0,          0.0,          0.0,        643.3,        146.2,        789.5
Middleborough,01820000,          2.0,          1.0,          0.0,        356.9,          1.0,          0.0,          1.0,        282.7,         79.2,        361.9
Middleton,01840000,          0.0,          0.0,          0.0,        137.9,          0.0,          0.0,          0.0,        127.2,         10.6,        137.9
Milford,01850000,          5.0,          2.0,         33.3,        567.9,          1.0,          0.0,          1.0,        503.0,        107.2,        610.2
Millbury,01860000,          3.0,          3.8,          1.0,        244.5,          0.0,          0.0,          1.0,        191.3,         62.1,        253.3
Millis,01870000,          0.0,          2.0,          3.5,        169.5,          0.0,          0.0,          0.0,        143.0,         32.0,        175.0
Milton,01890000,         35.4,          7.4,         11.0,        457.7,          1.0,          1.0,          0.0,        417.8,         95.7,        513.5
Minuteman Regional Vocational Technical,08300000,          0.0,          1.0,          2.0,        108.1,          0.0,          0.5,          1.0,         60.1,         52.5,        112.6
Mohawk Trail,07170000,          0.0,          0.0,          1.0,        186.1,          1.0,          0.0,          1.0,        168.0,         21.1,        189.1
Monomoy Regional School District,07120000,          2.0,          2.8,          2.0,        291.4,          0.0,          0.0,          1.0,        241.5,         57.7,        299.2
Monson,01910000,          0.0,          0.0,          1.5,        149.2,          0.0,          1.0,          0.0,        121.2,         30.5,        151.7
Montachusett Regional Vocational Technical,08320000,          1.0,          0.0,          8.0,        171.9,          2.0,          0.0,          0.0,        104.8,         78.1,        182.9
Mount Greylock,07150000,          1.0,          3.0,          2.0,        199.9,          0.0,          0.0,          0.0,        151.3,         54.6,        205.9
Mystic Valley Regional Charter (District),04700000,          6.0,          4.0,          4.0,        161.7,          0.0,          0.0,          2.0,        129.7,         48.0,        177.7
Nahant,01960000,          0.0,          0.0,          0.0,         24.2,          0.0,          0.0,          0.0,         22.6,          1.6,         24.2
Nantucket,01970000,          4.0,          2.0,         12.6,        257.3,          1.0,          0.0,          3.0,        230.9,         49.0,        279.9
Narragansett,07200000,          1.0,          0.0,          1.0,        184.5,          0.0,          0.0,          0.0,        148.5,         38.0,        186.5
Nashoba,07250000,          1.0,          5.0,          1.0,        459.6,          0.0,          0.0,          1.0,        375.8,         91.8,        467.6
Nashoba Valley Regional Vocational Technical,08520000,          1.0,          1.0,          1.0,         93.4,          0.0,          0.0,          0.0,         52.4,         44.0,         96.4
Natick,01980000,          5.5,         13.6,          5.0,        750.2,          1.0,          0.0,          4.2,        622.5,        156.9,        779.4
Nauset,06600000,          1.0,          1.0,          6.0,        211.4,          0.0,          0.0,          0.0,        164.1,         55.3,        219.4
Needham,01990000,         21.8,         20.6,         22.7,        791.5,          0.0,          0.0,          8.0,        683.5,        180.2,        864.7
Neighborhood House Charter (District),04440000,         31.0,         10.0,         15.5,         69.1,          1.0,          0.0,          4.0,         99.1,         31.6,        130.7
New Bedford,02010000,        124.0,          9.0,        124.8,"      1,543.4",          6.0,          1.0,         19.5,"      1,463.7",        363.9,"      1,827.6"
New Heights Charter School of Brockton (District),35130000,         20.0,          1.0,          1.0,         54.2,          0.0,          0.0,          1.0,         48.7,         28.5,         77.2
New Salem-Wendell,07280000,          1.0,          0.0,          1.0,         26.8,          0.0,          0.0,          2.0,         28.3,          2.6,         30.8
Newburyport,02040000,          3.0,          2.0,          3.0,        329.0,          0.0,          1.0,          0.0,        270.9,         66.2,        338.0
Newton,02070000,         92.7,         94.1,         65.5,"      1,766.0",          0.9,          0.0,         27.4,"      1,605.7",        439.8,"      2,046.5"
Norfolk,02080000,          0.0,          0.0,          0.0,        156.4,          0.0,          0.0,          0.0,        144.7,         11.7,        156.4
Norfolk County Agricultural,09150000,          0.0,          0.0,          0.0,         81.9,          0.0,          0.0,          0.0,         49.8,         32.1,         81.9
North Adams,02090000,          1.0,          1.0,          2.0,        268.6,          0.0,          0.0,          1.0,        218.3,         55.3,        273.6
North Andover,02110000,          1.0,          6.0,          1.0,        599.2,          0.0,          0.0,          0.0,        503.5,        103.7,        607.2
North Attleborough,02120000,          3.8,          5.8,          3.0,        512.8,          0.0,          0.0,          2.0,        446.0,         81.4,        527.4
North Brookfield,02150000,          0.0,          1.0,          2.4,         81.7,          0.0,          0.0,          0.0,         68.3,         16.8,         85.1
North Middlesex,07350000,          1.0,          0.8,          3.0,        407.3,          0.0,          1.0,          1.0,        339.3,         74.8,        414.1
North Reading,02170000,          0.0,          1.0,          3.0,        326.9,          0.0,          0.0,          0.0,        257.6,         73.3,        330.9
Northampton,02100000,          7.8,          1.0,         24.6,        424.6,          0.0,          0.0,          5.3,        369.7,         93.5,        463.3
Northampton-Smith Vocational Agricultural,04060000,          1.0,          0.0,          3.0,        110.9,          0.0,          0.0,          1.0,         62.0,         53.9,        115.9
Northboro-Southboro,07300000,          1.3,          1.0,          2.0,        188.3,          0.0,          1.0,          0.0,        146.3,         47.3,        193.6
Northborough,02130000,          0.4,          2.0,          3.0,        265.1,          0.0,          1.0,          1.0,        244.5,         28.0,        272.5
Northbridge,02140000,          1.0,          0.0,          1.0,        294.6,          0.0,          1.0,          1.0,        234.6,         64.0,        298.6
Northeast Metropolitan Regional Vocational Technical,08530000,          4.0,          2.0,          6.6,        158.2,          0.0,          0.0,          0.0,         86.5,         84.3,        170.8
Northern Berkshire Regional Vocational Technical,08510000,          0.0,          0.0,          0.0,         66.5,          0.0,          0.0,          0.0,         38.5,         28.0,         66.5
Norton,02180000,          2.0,          0.0,          4.0,        320.9,          0.0,          0.0,          0.0,        270.2,         56.6,        326.8
Norwell,02190000,          1.0,          2.0,          2.0,        277.5,          0.0,          0.0,          0.0,        221.8,         60.7,        282.5
Norwood,02200000,          7.0,          2.0,          8.0,        499.6,          1.0,          0.0,          0.0,        411.6,        106.0,        517.6
Oak Bluffs,02210000,          0.4,          0.0,          0.8,         84.6,          0.0,          0.0,          3.0,         81.1,          7.6,         88.8
Old Colony Regional Vocational Technical,08550000,          0.0,          1.0,          0.0,         86.0,          0.0,          0.0,          3.0,         50.0,         40.0,         90.0
Old Rochester,07400000,          3.3,          2.0,          1.0,        147.8,          0.0,          0.0,          0.0,        105.0,         49.1,        154.1
Old Sturbridge Academy Charter Public School (District),35150000,          0.0,          0.0,          2.0,         29.6,          0.0,          0.0,          0.0,         24.6,          7.0,         31.6
Orange,02230000,          0.0,          0.0,          1.0,         83.0,          0.0,          0.0,          0.0,         75.0,          9.0,         84.0
Orleans,02240000,          0.0,          0.0,          0.0,         43.2,          0.0,          0.0,          0.0,         38.3,          4.9,         43.2
Oxford,02260000,          1.0,          1.0,          1.0,        202.2,          0.0,          0.0,          1.0,        168.3,         38.0,        206.2
Palmer,02270000,          0.0,          1.0,          3.0,        198.2,          0.0,          1.0,          2.0,        169.7,         35.5,        205.2
Pathfinder Regional Vocational Technical,08600000,          0.0,          0.0,          0.0,        105.5,          0.0,          0.0,          0.0,         53.0,         52.5,        105.5
Paulo Freire Social Justice Charter School (District),35010000,          9.0,          0.0,         12.9,         21.0,          0.0,          0.0,          0.0,         30.9,         12.0,         42.9
Peabody,02290000,          1.0,          1.0,          9.5,        717.6,          0.0,          0.0,          1.0,        597.4,        132.7,        730.1
Pelham,02300000,          0.1,          0.2,          2.7,         24.0,          0.0,          0.0,          0.0,         24.3,          2.7,         27.1
Pembroke,02310000,          1.0,          1.0,          0.0,        299.5,          0.0,          0.0,          0.0,        250.9,         50.7,        301.5
Pentucket,07450000,          0.0,          0.0,          2.0,        322.0,          0.0,          0.0,          3.2,        265.0,         62.2,        327.2
Petersham,02340000,          0.0,          0.0,          0.0,         25.5,          0.0,          0.0,          0.0,         22.4,          3.1,         25.5
Phoenix Academy Public Charter High School Lawrence (District),35180000,          3.0,          0.0,          3.9,         14.0,          0.0,          0.0,          0.0,         16.9,          4.0,         20.9
Phoenix Academy Public Charter High School Springfield (District),35080000,         10.3,          2.0,          2.9,          7.0,          0.0,          0.0,          0.0,         17.2,          5.0,         22.2
Phoenix Charter Academy (District),04930000,          6.3,          4.0,         10.5,         14.0,          0.0,          0.0,          0.0,         26.8,          8.0,         34.8
Pioneer Charter School of Science (District),04940000,          4.0,          2.0,          3.3,         88.2,          0.0,          0.0,          0.0,         62.1,         35.3,         97.4
Pioneer Charter School of Science II (PCSS-II) (District),35060000,          4.0,          8.0,          5.0,         33.8,          0.0,          0.0,          0.0,         27.4,         23.4,         50.8
Pioneer Valley,07500000,          0.0,          0.0,          0.0,        132.9,          0.0,          0.0,          0.0,        113.0,         20.0,        132.9
Pioneer Valley Chinese Immersion Charter (District),04970000,          2.0,         40.8,          1.0,         51.6,          0.0,          0.0,          2.0,         78.3,         19.1,         97.4
Pioneer Valley Performing Arts Charter Public (District),04790000,          4.0,          1.0,          5.0,         57.2,          0.0,          0.0,          0.0,         42.2,         25.0,         67.2
Pittsfield,02360000,         22.8,          8.0,         21.8,        805.8,          1.0,          0.0,         12.0,        692.0,        179.4,        871.4
Plainville,02380000,          0.0,          3.0,          1.0,         82.4,          0.0,          0.0,          0.0,         82.4,          4.0,         86.4
Plymouth,02390000,          7.6,          5.0,          9.1,"      1,035.5",          1.0,          2.6,          1.0,        866.6,        195.1,"      1,061.7"
Plympton,02400000,          0.0,          0.0,          0.0,         33.2,          0.0,          0.0,          0.0,         32.0,          1.2,         33.2
Prospect Hill Academy Charter (District),04870000,         21.9,          8.7,         16.4,        124.3,          0.0,          0.0,          4.0,        140.5,         34.7,        175.2
Provincetown,02420000,          0.0,          0.0,          1.0,         29.6,          0.0,          0.0,          1.0,         23.1,          8.5,         31.6
Quabbin,07530000,          2.0,          1.9,          2.0,        277.5,          0.0,          0.0,          1.0,        237.6,         46.8,        284.4
Quaboag Regional,07780000,          0.0,          1.0,          0.0,        182.0,          0.0,          0.0,          0.0,        141.4,         41.6,        183.0
Quincy,02430000,          6.0,         60.0,          4.0,"      1,097.8",          0.0,          0.0,         15.0,        970.0,        212.8,"      1,182.8"
Ralph C Mahar,07550000,          0.0,          1.0,          2.0,         88.5,          0.0,          0.0,          0.0,         65.3,         26.2,         91.5
Randolph,02440000,         64.8,         17.6,         17.6,        283.8,          1.0,          0.0,          4.0,        309.5,         79.3,        388.7
Reading,02460000,          1.6,          5.5,          3.8,        521.2,          0.0,          0.0,          1.0,        449.7,         83.3,        533.0
Revere,02480000,         15.0,         13.0,         32.5,        783.2,          1.0,          1.0,          5.5,        667.2,        184.0,        851.2
Richmond,02490000,          2.0,          0.0,          0.0,         32.4,          0.0,          0.0,          0.0,         31.1,          3.3,         34.4
Rising Tide Charter Public (District),04830000,          2.0,          2.0,          3.0,         84.4,          0.0,          0.0,          0.0,         63.8,         27.6,         91.4
River Valley Charter (District),04820000,          0.0,          0.0,          0.0,         50.5,          0.0,          0.0,          2.0,         41.8,         10.7,         52.5
Rochester,02500000,          2.3,          0.0,          0.0,         66.3,          0.0,          0.0,          0.0,         61.0,          7.5,         68.5
Rockland,02510000,          1.0,          0.0,          5.0,        303.1,          0.0,          0.0,          1.0,        265.4,         44.8,        310.1
Rockport,02520000,          0.0,          0.0,          0.0,        156.0,          0.0,          0.0,          0.0,        128.3,         27.7,        156.0
